Landing page,Sessions,Session key event rate,Key events
/sv,1803,0.052135330005546314,126
(not set),1541,0.006489292667099286,10
/insights/blogs/germany-a-new-era-for-investment/germanys-record-defence-modernisation-drive-as-of-22-october-2025,1066,0.0028142589118198874,3
/,1037,0.01639344262295082,26
/sv/om-oss/jobba-hos-oss/lediga-tjanster,368,0,0
/sv/om-oss/jobba-hos-oss/vill-du-paborja-en-global-karriar,282,0,0
/about-us/join-us/vacant-positions,255,0,0
/about-us/join-us/ready-to-kick-start-a-global-career,196,0,0
/sv/kontakt,112,0.11607142857142858,20
/invest-in-sweden,102,0.0196078431372549,3
/insights/calendar/2026/us-sweden-tariff-intelligence--advisory-webinar,84,0.011904761904761904,1
/sv/om-oss/organisation-och-styrning/ledningsgrupp,82,0,0
/about-us,81,0,0
/sv/om-oss/jobba-hos-oss/we-are-business-sweden,81,0,0
/about-us/join-us/students,66,0,0
/expand-globally/markets/asia-pacific/japan,65,0.03076923076923077,2
/sv/om-oss/organisation-och-styrning/styrelse,63,0.031746031746031744,9
/insights/blogs/germany-a-new-era-for-investment/germany-accelerates-digital-expansion-as-of-12-september-2025,60,0,0
/guider/skeppningshandboken,59,0.06779661016949153,6
/events/ae13d102e7,57,0,0
/about-us/join-us,56,0,0
/events/ec0b9280fe,52,0.3076923076923077,17
/about-us/organisation--governance/management,52,0,0
/sv/om-oss/jobba-hos-oss/studenter,50,0,0
/sv/insikter/kalendarium/2026/techarenan-2026,48,0,0
/search,47,0.02127659574468085,1
/sv/expandera-globalt/marknader/nord-och-sydamerika/brasilien,47,0,0
/contact,46,0.06521739130434782,4
/guider/exportguiden/transporter-och-leveransvillkor/leveransvillkor-incoterms-mfl,43,0,0
/guider/frihandelsguiden,42,0.21428571428571427,12
/insights/blogs/germany-a-new-era-for-investment/germany-ramps-up-transport-upgrades-as-of-21-august2025,42,0.047619047619047616,3
/expand-globally/markets/americas/colombia,41,0,0
/expand-globally/sme/catalyst,40,0,0
/expand-globally/markets/americas/canada,39,0.05128205128205128,2
/insights/articles/swedens-sustainable-lifestyle-ecosystem,39,0,0
/expand-globally/markets/asia-pacific/india,38,0.05263157894736842,2
/expand-globally/markets/mea/saudi-arabia,36,0.027777777777777776,1
/expand-globally/markets/europe/spain,36,0,0
/insights/articles/chinas-demographic-shift-a-catalyst-for-economic-transformation,36,0,0
/insights/blogs/us-trade-policy-shifts/from-robotics-to-timber-new-us-tariff-risks-for-swedish-firms,36,0,0
/expand-globally/markets/mea/kenya,34,0.08823529411764706,4
/expand-globally/markets/asia-pacific/singapore,34,0.058823529411764705,2
/insights/reports/whitepapers--guides/growth-beyond-the-nordics-how-swedish-acquirers-win-in-cross-border-ma,34,0.029411764705882353,2
/sv/om-oss/team-sweden,34,0.029411764705882353,1
/insights/articles/global-boom-in-defence-and-security-shines-spotlight-on-swedish-exporters,34,0,0
/insights/focusasia-2024/100-business-opportunities-in-asia,34,0,0
/insights/reports/business-climate-surveys,33,0.06060606060606061,5
/expand-globally/markets/americas/usa,33,0,0
/insights/blogs/germany-a-new-era-for-investment/germany-accelerates-large-scale-upgrades-across-its-energy-system-as-of-11-december-2025,33,0,0
/sv/expandera-globalt/sme/catalyst,33,0,0
/insights/calendar/2025/sweden-us-life-science-program-at-j.p.-morgan-week-2026,32,0,0
,31,0.03225806451612903,1
/expand-globally/markets/asia-pacific/south-korea,31,0.03225806451612903,1
/insights/calendar,31,0.03225806451612903,1
/about-us/team-sweden,31,0,0
/guider/exportguiden/blanketter-och-formular,30,0.7666666666666667,28
/sv/expandera-globalt/sme,30,0.1,3
/expand-globally/markets/mea/united-arab-emirates,29,0.06896551724137931,2
/invest-in-sweden/online-tools/site-finder,29,0.034482758620689655,1
/sv/om-oss/jobba-hos-oss,29,0.034482758620689655,1
/sv/insikter/kundcase/nvidia,29,0,0
/about-us/organisation--governance/board-of-directors,28,0,0
/insights/articles/inside-hong-kongs-rising-role-as-a-supply-chain-hub,28,0,0
/sv/expandera-globalt/sme/catalyst/,28,0,0
/expand-globally/markets/europe/germany,27,0.037037037037037035,2
/sv/expandera-globalt/marknader/asien-och-oceanien/japan,27,0.14814814814814814,4
/sv/expandera-globalt/marknader/mellanostern-och--afrika/saudiarabien,27,0.037037037037037035,1
/events/ad7a4a785d,27,0,0
/insights/blogs/germany-a-new-era-for-investment/germany-reshapes-housing-and-heating-as-of-15-december-2025,27,0,0
/invest-in-sweden/start-a-company-in-sweden,26,0.2692307692307692,20
/expand-globally/markets/asia-pacific,26,0.038461538461538464,2
/guider/exportguiden/frihandelsregler/leverantorsdeklaration,25,0.64,24
/brand--design-guidelines/logotype,25,0.64,16
/sv/expandera-globalt/marknader/nord-och-sydamerika/usa,25,0.08,2
/insights/articles/taiwans-healthcare-tale-navigating-accessibility-affordability-and-quality-in-an-ageing-society,25,0,0
/expand-globally/markets/americas/brazil,24,0.041666666666666664,2
/events/ebda2fca22,24,0,0
/expand-globally/markets/europe/united-kingdom,24,0,0
/about-us/media/press-releases/press-releases/2025/swedish-tech-continues-to-defy-the-economic-downturn,23,0,0
/industries,23,0.043478260869565216,1
/expand-globally/markets/asia-pacific/indonesia,23,0.043478260869565216,6
/expand-globally/markets/americas/mexico,23,0,0
/public/events/db78b65620/pages/cbcba45425,23,0,0
/sv/expandera-globalt/marknader/mellanostern-och--afrika/forenade-arabemiraten,22,0.045454545454545456,1
/sv/investera-i-sverige/onlineverktyg/site-finder,22,0,0
/sv/kontakter/sverige/hq/stockholm,22,0,0
/expand-globally/markets/europe/italy,21,0.09523809523809523,2
/invest-in-sweden/sweden,21,0.09523809523809523,2
/sv/expandera-globalt/marknader/asien-och-oceanien/australien,21,0,0
/sv/expandera-globalt/marknader/europa/frankrike,21,0,0
/expand-globally/geopolitical-advisory,20,0.05,1
/expand-globally/markets/asia-pacific/thailand,20,0.05,1
/insights/blogs/germany-a-new-era-for-investment,20,0.05,1
/insights/client-cases/blackwing,20,0.05,1
/expand-globally/markets/mea/morocco,20,0,0
/sv/investera-i-sverige,19,0,0
/expand-globally/business-support-services,19,0,0
/sv/expandera-globalt/geopolitisk-radgivning/geo-panelen,19,0.10526315789473684,2
/guider/exportguiden/frihandelsregler,18,0.16666666666666666,3
/sv/expandera-globalt/marknader/europa/tyskland,18,0.05555555555555555,1
/events/ff263cdc5e,18,0,0
/insights/articles/three-reasons-why-hong-kong-is-a-bridge-between-east-and-west,18,0,0
/sv/insikter/kalendarium,18,0,0
/sv/insikter/kundcase/amazon-web-services-landar-pa-svensk-mark,18,0,0
/insights/global-analysis/global-business-climate-survey,17,0.6470588235294118,11
/sv/insikter/globala-analyser/global-exportanalys,17,0.23529411764705882,4
/expand-globally/markets/mea/south-africa,17,0.058823529411764705,2
/expand-globally/markets/asia-pacific/australia,17,0.058823529411764705,1
/sv/expandera-globalt/marknader/sverige---vara-kontor,17,0.058823529411764705,1
/sv/expandera-globalt/marknader/asien-och-oceanien/sydkorea,17,0,0
/sv/expandera-globalt/marknader/mellanostern-och--afrika/sydafrika,17,0,0
/sv/insikter/kundcase/blackwing-startklar-for-svensk-expansion,17,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/svensk-naringslivsdelegation-till-kanada-med-fokus-pa-ai-forsvar--sakerhet-samt-elektrifiering-i-samband-med-kungaparets-statsbesok,17,0,0
/expand-globally/markets/europe/france,16,0.125,2
/campaigns/join-sweden,16,0.0625,1
/industries/life-science,16,0.0625,1
/sv/expandera-globalt/exportregler/kurser-i-exportregler,16,0.0625,1
/sv/expandera-globalt/marknader/mellanostern-och--afrika,16,0.0625,1
/expand-globally/markets/asia-pacific/malaysia,16,0,0
/sv/insikter/kalendarium/2025/techarenan-2026,16,0,0
/sv/om-oss,16,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2024/svenska-startups-har-fordubblat-sitt-varde-de-senaste-fem-aren--med-impact-bolag-i-spetsen,16,0,0
/insights/reports,15,0.2,5
/sv/expandera-globalt/marknader/asien-och-oceanien/kina,15,0.13333333333333333,2
/expand-globally/markets/europe/poland,15,0.06666666666666667,1
/sv/expandera-globalt/marknader/europa/italien,15,0.06666666666666667,1
/expand-globally/markets/americas/colombia/swedish-companies-in-colombia,15,0,0
/expand-globally/markets/asia-pacific/taiwan,15,0,0
/expand-globally/markets/asia-pacific/the-philippines,15,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien/vietnam,15,0,0
/expand-globally/markets/mea,14,0,0
/sv/expandera-globalt/marknader/mellanostern-och--afrika/kenya,14,0.07142857142857142,1
/contacts2/asia-pacific/india/bangalore,14,0,0
/insights/global-analysis/global-exports,14,0.5,8
/sv/expandera-globalt/marknader/asien-och-oceanien/thailand,14,0,0
/sv/expandera-globalt/marknader/europa/polen,14,0,0
/sv/insikter/kundcase/nicks-pa-vag-mot-nya-framgangar-i-usa,14,0,0
/insights/calendar/2025/focus-asia---sme-study-trip-to-japan-and-korea,13,0.38461538461538464,7
/sv/insikter/globala-analyser/globala-direktinvesteringar,13,0.23076923076923078,4
/expand-globally/trade--development,13,0.07692307692307693,1
/insights/reports/business-climate-surveys/germany-business-climate-survey-2025,13,0.07692307692307693,1
/sv/expandera-globalt/marknader/europa/norge,13,0.07692307692307693,1
/contacts2/jan-larsson,13,0,0
/expand-globally/markets/americas/chile,13,0,0
/expand-globally/markets/asia-pacific/vietnam,13,0,0
/insights/articles,13,0,0
/insights/articles/new-opportunities-in-nigerias-booming-tech-industry,13,0,0
/insights/blogs/us-trade-policy-shifts/u.s.-trade-policy-shifts-what-sweden-needs-to-know-about-the-new-tariff-landscape,13,0,0
/invest-in-sweden/online-tools/compare-sweden,13,0,0
/sv/expandera-globalt/marknader/europa/spanien,13,0,0
/expand-globally/geopolitical-advisory/geo-insights,12,0.3333333333333333,7
/forms/contact-form,12,0.5,7
/expand-globally/markets/europe/ukraine,12,0.08333333333333333,1
/expand-globally/markets/mea/nigeria,12,0.08333333333333333,1
/sv/insikter/rapporter/whitepapers--guides/usa-fda-handbok,12,0.08333333333333333,1
/expand-globally/markets/asia-pacific/china,12,0,0
/expand-globally/markets/asia-pacific/hong-kong,12,0,0
/insights/articles/chinas-growing-demand-for-healthcare-services-and-medical-devices,12,0,0
/insights/blogs/us-trade-policy-shifts/what-does-the-us-eu-trade-deal-mean-for-swedish-companies,12,0,0
/insights/client-cases/swedish-company-nicks-on-the-road-to-sweet-success-in-the-us,12,0,0
/sv/expandera-globalt/geopolitisk-radgivning,12,0,0
/sv/kontakter/sverige/hq/lena-sellgren,12,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2026/eus-frihandelsavtal-med-mercosur-oppnar-nya-mojligheter-for-svenska-foretag,12,0,0
/insights/cop/the-climate-matchmaker-for-global-action,11,0.36363636363636365,4
/sv/forms/kontaktformular,11,0.18181818181818182,3
/insights/global-analysis/fdi-overview,11,0.18181818181818182,2
/insights/reports/business-climate-surveys/business-climate-survey-south-korea-2025,11,0.09090909090909091,1
/sv/expandera-globalt/marknader/europa/ukraina,11,0.09090909090909091,1
/contacts2/americas/usa/new-york,11,0,0
/expand-globally/markets/europe/the-czech-republic,11,0,0
/guider/e-handelsguiden,11,0,0
/industries/digital-technologies,11,0,0
/insights/articles/sweden-needs-foreign-investment-more-than-ever,11,0,0
/insights/articles/the-land-of-unicorns,11,0,0
/insights/client-cases/nordic-boom-in-robotic-surgery-intuitive-expands-in-sweden,11,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien/hong-kong,11,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien/indien,11,0,0
/sv/expandera-globalt/marknader/europa/benelux,11,0,0
/sv/expandera-globalt/marknader/europa/turkiet,11,0,0
/sv/expandera-globalt/marknader/nord-och-sydamerika/colombia,11,0,0
/sv/expandera-globalt/marknader/nord-och-sydamerika/kanada,11,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/andreas-scheibenpflug-ny-chef-for-region-sverige-pa-business-sweden,11,0,0
/sv/sok,11,0,0
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter,10,0.4,6
/industries/energy,10,0.2,2
/industries/energy/sweden-the-most-scalable-battery-ecosystem-in-europe,10,0.2,2
/expand-globally/markets/europe/denmark,10,0.1,1
/logga-in,10,0.1,1
/events/ea881805f1,10,0,0
/expand-globally,10,0,0
/expand-globally/markets/sweden---our-offices,10,0,0
/insights/articles/the-radiant-rise-of-taiwans-beauty-industry2,10,0,0
/sv/expandera-globalt,10,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien/singapore,10,0,0
/sv/expandera-globalt/marknader/europa/danmark,10,0,0
/sv/expandera-globalt/marknader/europa/storbritannien,10,0,0
/sv/expandera-globalt/marknader/nord-och-sydamerika,10,0,0
/sv/industrier,10,0,0
/insights/global-analysis,9,0.2222222222222222,3
/insights/reports/whitepapers--guides/growth-ahead-in-the-philippines,9,0.1111111111111111,2
/contacts2/americas/usa/chicago,9,0.1111111111111111,1
/contacts2/asia-pacific/india/new-delhi,9,0.1111111111111111,1
/insights/client-cases,9,0.1111111111111111,1
/insights/reports/whitepapers--guides/hong-kong-the-three-roles-for-swedish-companies,9,0.1111111111111111,1
/sv/kontakt/kontor-i-sverige,9,0.1111111111111111,1
/about-us/media/press-releases/press-releases/2024/swedish-startups-have-doubled-in-value-in-the-last-five-years-with-impact-taking-center-stage,9,0,0
/about-us/media/press-releases/press-releases/2025/business-sweden-expands-in-india-with-a-new-office-in-mumbai,9,0,0
/events/afc0aa80f3,9,0,0
/insights/articles/swedens-digital-technologies-ecosystem,9,0,0
/sv/expandera-globalt/sme/Kontakta-ehandelsexperter,9,0,0
/sv/insikter/expo-2025-osaka,9,0,0
/sv/kontakt/kontakta-business-sweden,9,0,0
/sv/om-oss/verksamhet-och-uppdrag,9,0,0
/sv/insikter/globala-analyser/global-exportanalys-tjanster,8,0.5,4
/insights/reports/business-climate-surveys/the-united-kingdom-business-climate-survey-2025,8,0.25,2
/expand-globally/markets/europe/norway,8,0.125,1
/insights,8,0.125,1
/insights/cop,8,0.125,1
/sv/expandera-globalt/marknader/asien-och-oceanien/malaysia,8,0.125,1
/sv/expandera-globalt/marknader/mellanostern-och--afrika/marocko,8,0.125,1
/contacts2/americas/usa/san-francisco,8,0,0
/expand-globally/strategic-projects/global-gateway,8,0,0
/insights/blogs/germany-a-new-era-for-investment/germanys-fiscal-foundations-for-the-coming-years--as-of-07.08.2025,8,0,0
/sv/campaigns/bio/starta-foretag-utomlands--expandera-till-nya-marknader,8,0,0
/sv/expandera-globalt/exportregler,8,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien_container/indien,8,0,0
/sv/expandera-globalt/marknader/europa/osterrike,8,0,0
/sv/investera-i-sverige/sverige/samarbetspartners-i-sverige,8,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/svenska-bolag-visar-upp-spetskompetens-inom-forsvar-och-sakerhet-pa-mspo-2025,8,0,0
/expand-globally/markets/americas,7,0.2857142857142857,5
/insights/reports/business-climate-surveys/mainland-china-business-climate-survey-2025,7,0.42857142857142855,3
/insights/reports/business-climate-surveys/canada-business-climate-survey-20253,7,0.14285714285714285,2
/insights/reports/business-climate-surveys/india-business-climate-survey-2025,7,0.2857142857142857,2
/contacts2/asia-pacific/vietnam-ho-chi-minh-city,7,0.14285714285714285,1
/insights/reports/business-climate-surveys/malaysia-business-climate-survey-2025,7,0.14285714285714285,1
/insights/reports/executive-global-insights/the-rise-of-brics,7,0.14285714285714285,1
/insights/reports/whitepapers--guides/sustainability-and-conscious-consumerism-in-singapore,7,0.14285714285714285,1
/sv/expandera-globalt/marknader,7,0.14285714285714285,1
/sv/insikter/rapporter/executive-global-insights/vagen-till-resiliens-for-halvledare,7,0.14285714285714285,1
/sv/om-oss/media/pressreleaser/pressreleaser/2025/nytt-regeringsuppdrag-till-business-sweden-inom-investeringsframjandet,7,0.14285714285714285,1
/code-of-conduct,7,0,0
/contact/offices-in-sweden,7,0,0
/events/da5d577259,7,0,0
/events/dcf8ecdc26,7,0,0
/events/eb0eb9588d,7,0,0
/events/sweden-at-cop30,7,0,0
/expand-globally/markets/europe/benelux,7,0,0
/expand-globally/markets/europe_container/turkey,7,0,0
/expand-globally/trade--development/our-partnerships-for-trade--development,7,0,0
/guider/skeppningshandboken/landinformation,7,0,0
/industries/consumer-goods,7,0,0
/insights/articles/a-new-chapter-for-cote-divoire-swedish-alliance-accelerates-west-africas-largest-clean-water-project,7,0,0
/insights/articles/amping-up-north-americas-tech-powerhouse,7,0,0
/insights/articles/three-reasons-why-sweden-is-spearheading-the-global-fight-against-alzheimers,7,0,0
/insights/calendar/2025/tif/suppliers-declaration--provide-your-customer-with-the-correct-information-on-the-origin-of-goods,7,0,0
/insights/client-cases/nvidia,7,0,0
/insights/cop/the-climate-matchmaker-for-global-action/cases/energy/flower,7,0,0
/insights/expo-2025-osaka,7,0,0
/insights/podcasts/new-trends-in-the-swedish-retail-market,7,0,0
/sv/expandera-globalt/marknader/asien-och-oceanien/taiwan,7,0,0
/sv/expandera-globalt/marknader/europa/finland,7,0,0
/sv/expandera-globalt/marknader/europa_container/frankrike,7,0,0
/sv/expandera-globalt/marknader/mellanostern-och--afrika_container/forenade-arabemiraten,7,0,0
/sv/insikter/podcasts/afrikas-frihandelsavtal-signalerar-en-ny-era-for-tillvaxt,7,0,0
/sv/kontakter/americas/usa/new-york,7,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/business-sweden-oppnar-nytt-kontor-i-peru--starker-synergier-mellan-handel-och-utveckling,7,0,0
/expand-globally/markets/asia-pacific_container_eng/south-korea,6,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/ny-livsmedelssatsning-hos-business-sweden,6,0,0
/sv/insikter/rapporter,6,0.3333333333333333,2
/brand--design-guidelines,6,0.16666666666666666,1
/sv/expandera-globalt/marknader/asien-och-oceanien/filippinerna,6,0.16666666666666666,1
/sv/kontakter/per-porten,6,0.16666666666666666,1
/about-us/join-us/we-are-business-sweden,6,0,0
/about-us/media/press-releases,6,0,0
/contact/contact-business-sweden,6,0,0
/contacts2/christina-keighren,6,0,0
/events/bfb0a93ef3,6,0,0
/events/de09c43ddf,6,0,0
/expand-globally/delegationsandtrade-fairs,6,0,0
/expand-globally/markets/asia-pacific_container_eng/china,6,0,0
/expand-globally/markets/asia-pacific_container_eng/india,6,0,0
/insights/reports/business-climate-surveys/japan-business-climate-survey-2025,6,0.16666666666666666,6
/expand-globally/markets/europe/finland,6,0,0
/expand-globally/markets/mea_container/nigeria,6,0,0
/insights/articles/queen-of-the-waves-inna-braverman,6,0,0
/insights/articles/setting-up-your-business-in-nigeria-a-practical-guide,6,0,0
/insights/blogs/germany-a-new-era-for-investment/germanys-record-defence-modernisation-drive-as-of-22-october-20252,6,0,0
/insights/calendar/2025/sweden-indonesia-sustainability-partnership-week,6,0,0
/public/events/bfb0a93ef3/pages/fc0af257a3,6,0,0
/sv/expandera-globalt/business-support-services/stod-vid-foretagsetablering,6,0,0
/sv/expandera-globalt/strategiska-projekt,6,0,0
/sv/expandera-globalt/strategiska-projekt/global-gateway,6,0,0
/sv/insikter/artiklar/sveriges-life-science-industrier,6,0,0
/sv/insikter/artiklar/taiga-motors,6,0,0
/sv/kontakt/fakturor,6,0,0
/sv/kontakter/mattias-dec,6,0,0
/sv/kontakter/nikki-brandt,6,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2024/victoria-rossi-ny-cco-for-business-sweden,6,0,0
/insights/global-analysis/global-economic-outlook,6,0.5,3
/about-us/sustainability/focus-areas,5,0,0
/sv/om-oss/media/pressreleaser/pressreleaser/2025/internationella-handelsdagen-2025-strategier-for-framgang-i-en-ny-global-verklighet,5,0,0
/insights/reports/whitepapers--guides/malaysias-semiconductor-momentum,5,0.2,2
/insights/reports/whitepapers--guides/swedens-nuclear-future--mapping-the-value-chain,5,0.2,2
/sv/insikter/rapporter/whitepapers--guides/karnkraftens-framtid-i-sverige---en-kartlaggning-av-vardekedjan,5,0.2,2
/insights/reports/business-climate-surveys/taiwan-business-climate-survey-2025,5,0.2,1
/sv/insikter/rapporter/business-climate-surveys/indien-business-climate-survey-20252,5,0.2,1
/sv/kalendarium,5,0.2,1
/sv/om-oss/media/pressreleaser/pressreleaser/2025/investeringsviljan-faller-i-skuggan-av-geopolitiken,5,0.2,1
/sv/om-oss/organisation-och-styrning,5,0.2,1
/about-us/media/press-releases/press-releases/2024/cloud-provider-coreweave-establishes-presence-in-sweden,5,0,0
/expand-globally/markets/asia-pacific/taiwan/konsulara-tjanster-for-svenska-medborgare,5,0.6,3
/calendar,5,0,0
/contacts2/jaani-heinonen,5,0,0
/contacts2/kacper-pierzynowski,5,0,0
/contacts2/michail-pagounis,5,0,0
/cop,5,0,0
/events/afc0aa80f3/overview,5,0,0
/expand-globally/market-expansion,5,0,0
/expand-globally/markets/asia-pacific/taiwan/consular-services-for-taiwanese-citizen,5,0,0
/expand-globally/markets/europe/austria,5,0,0
/expand-globally/markets/europe_container/united-kingdom,5,0,0
/insights/articles/nigeria-a-fashion-hot-spot,5,0,0
/insights/articles/swedens-new-material-ecosystem,5,0,0
/insights/blogs/all-blogs/five-pillars-of-growth-in-indias-healthcare-sector,5,0,0
/insights/blogs/us-trade-policy-shifts,5,0,0
/insights/blogs/us-trade-policy-shifts/tariff-turmoil-is-back-as-90-day-pause-ends,5,0,0
/insights/client-cases/amazon-web-services,5,0,0
/insights/client-cases/swedish-unicorn-polarium-reduces-diesel-dependency-in-africa,5,0,0
/insights/client-cases/westermo-captures-transport-and-industrial-automation-boom-in-india,5,0,0
/insights/client-cases/zalando,5,0,0
/insights/global-analysis/export-managers-index,5,0,0
